Symbol,Date
LW,2018-12-03
LYB,2012-09-05
LYV,2019-12-23
MA,2008-07-18
MAA,2016-12-02
MAR,1957-03-04
MAS,1981-06-30
MCD,1970-06-30
MCHP,2007-09-07
MCK,1957-03-04
MCO,1957-03-04
MDLZ,2012-10-02
MDT,1986-10-31
MET,1957-03-04
MGM,2017-07-26
MHK,2013-12-23
MKC,2003-03-20
MKTX,2019-07-01
MLM,2014-07-02
MMC,1987-08-31
MMM,1976-08-09
MNST,2012-06-28
MO,1957-03-04
MOS,2011-09-26
MPC,2011-07-01
MPWR,2021-02-12
MRK,1957-03-04
MRNA,2021-07-21
MRO,1991-05-01
MS,1957-03-04
MSCI,2018-04-04
MSFT,1994-06-01
MSI,1957-03-04
MTB,2004-02-23
MTCH,2021-09-20
MTD,2016-09-06
MU,1994-09-27
NCLH,2017-10-13
NDAQ,2008-10-22
NEE,1976-06-30
NEM,1969-06-30
NFLX,2010-12-20
NI,1957-03-04
NKE,1988-11-30
NLOK,2003-03-25
NLSN,2013-07-09
NOC,1985-06-30
NOW,2019-11-21
NRG,2010-01-29
NSC,1957-03-04
NTAP,1999-06-25
NTRS,1957-03-04
NUE,1985-04-30
NVDA,2001-11-30
NVR,2019-09-26
NWL,1989-04-30
NWS,2015-09-18
NWSA,2013-08-01
NXPI,2021-03-22
O,2015-04-07
ODFL,2019-12-09
OGN,2021-06-03
OKE,2010-03-15
OMC,1957-03-04
ORCL,1989-08-31
ORLY,2009-03-27
OTIS,2020-04-03
OXY,1982-12-31
PAYC,2020-01-28
PAYX,1957-03-04
PBCT,2008-11-13
PCAR,1980-12-31
PEAK,2008-03-31
PEG,1957-03-04
PENN,2021-03-22
PEP,1957-03-04
PFE,1957-03-04
PFG,2002-07-22
PG,1957-03-04
PGR,1997-08-04
PH,1985-11-30
PHM,1984-04-30
PKG,2017-07-26
PKI,1985-05-31
PLD,2003-07-17
PM,2008-03-31
PNC,1988-04-30
PNR,2012-10-01
PNW,1957-03-04
POOL,2020-10-07
PPG,1957-03-04
PPL,1957-03-04
PRU,2002-07-22
PSA,2005-08-19
PSX,2012-05-01
PTC,2021-04-20
PVH,2013-02-15
PWR,2009-07-01
PXD,2008-09-24
PYPL,2015-07-20
QCOM,1957-03-04
QRVO,2015-06-11
RCL,2014-12-05
RE,2017-06-19
REG,2017-03-02
REGN,2013-05-01
RF,1998-08-28
RHI,2000-12-05
RJF,2017-03-20
RL,2007-02-02
RMD,2017-07-26
ROK,1957-03-04
ROL,2018-10-01
ROP,2009-12-23
ROST,2009-12-21
RSG,2008-12-05
RTX,1957-03-04
SBAC,2017-09-01
SBUX,1957-03-04
SCHW,1997-06-02
SEE,1957-03-04
SHW,1964-06-30
SIVB,2018-03-19
SJM,2008-11-06
SLB,1965-03-31
SNA,1982-09-30
SNPS,2017-03-16
SO,1957-03-04
SPG,2002-06-26
SPGI,1957-03-04
SRE,1957-03-04
STE,2019-12-23
STT,1957-03-04
STX,2012-07-02
STZ,2005-07-01
SWK,1982-09-30
SWKS,2015-03-12
SYF,2015-11-18
SYK,2000-12-12
SYY,1986-12-31
T,1983-11-30
TAP,1976-06-30
TDG,2016-06-03
TDY,2020-06-22
TECH,2021-08-30
TEL,2011-10-17
TER,2020-09-21
TFC,1997-12-04
TFX,2019-01-18
TGT,1976-12-31
TJX,1985-09-30
TMO,2004-08-03
TMUS,2019-07-15
TPR,1957-03-04
TRMB,2021-01-21
TROW,1957-03-04
TRV,2002-08-21
TSCO,2014-01-24
TSLA,2020-12-21
TSN,2005-08-10
TT,2010-11-17
TTWO,2018-03-19
TWTR,2018-06-07
TXN,1957-03-04
TXT,1978-12-31
TYL,2020-06-22
UA,2016-04-08
UAA,2014-05-01
UAL,2015-09-03
UDR,2016-03-07
UHS,2014-09-20
ULTA,2016-04-18
UNH,1994-07-01
UNP,1957-03-04
UPS,2002-07-22
URI,2014-09-20
USB,1957-03-04
V,2009-12-21
VFC,1979-06-30
VIAC,1957-03-04
VLO,1957-03-04
VMC,1999-06-30
VNO,1957-03-04
VRSK,2015-10-08
VRSN,2006-02-01
VRTX,2013-09-23
VTR,2009-03-04
VTRS,2004-04-23
VZ,1983-11-30
WAB,2019-02-27
WAT,1957-03-04
WBA,1979-12-31
WDC,2009-07-01
WEC,2008-10-31
WELL,2009-01-30
WFC,1976-06-30
WHR,1957-03-04
WLTW,2016-01-05
WM,1957-03-04
WMB,1975-03-31
WMT,1982-08-31
WRB,2019-12-05
WRK,1957-03-04
WST,2020-05-22
WU,2006-09-29
WY,1957-03-04
WYNN,2008-11-14
XEL,1957-03-04
XLNX,1999-11-08
XOM,1957-03-04
XRAY,2008-11-14
XYL,2011-11-01
YUM,1997-10-06
ZBH,2001-08-07
ZBRA,2019-12-23
ZION,2001-06-22
ZTS,2013-06-21
